20,4,0C,0E-maj,2B-maj,3Cmin,,,,,,,,,,,,,,,,1.1567796494470395,#,_3Cmin2B-maj0E-maj0C,1169; 1260
14,10,0C,0E-maj,2B-maj,3Cmin,0B-maj,0Cmaj,0C,0E-maj,2B-maj,3Cmin,,,,,,,,,,1.3787834934861756,#####,_3Cmin2B-maj0E-maj0C0Cmaj0B-maj3Cmin2B-maj0E-maj0C,1169; 1260
10,5,0C7,0Amin,0C7,0Amin,0C7,,,,,,,,,,,,,,,0.9219280948873623,#,_0C70Amin0C70Amin0C7,1020
39,8,0C7,0B-7,0F7,0B-7,0F7,0C7,0B-7,0F7,,,,,,,,,,,,1.0472529671887538,##,_0F70B-70C70F70B-70F70B-70C7,0115; 0214; 0289; 0314; 0383; 0672; 0792; 1125; 1193; 1247
25,13,0C7,0B-7,0F7,0B-7,0F7,0C7,0B-7,0F7,0B-7,0F7,0C7,0B-7,0F7,,,,,,,1.2177968115985955,####,_0F70B-70C70F70B-70F70B-70C70F70B-70F70B-70C7,0115; 0214; 0289; 0383; 0672; 0792; 1125; 1193
15,18,0C7,0B-7,0F7,0B-7,0F7,0C7,0B-7,0F7,0B-7,0F7,0C7,0B-7,0F7,0B-7,0F7,0C7,0B-7,0F7,,0.9182958340544896,####,_0F70B-70C70F70B-70F70B-70C70F70B-70F70B-70C70F70B-70F70B-70C7,0115; 0214; 0289; 0672; 0792; 1125
10,8,0C7,0B-7,0Fmaj,0B-7,0Fmaj,0C7,0B-7,0Fmaj,,,,,,,,,,,,0.9219280948873623,####,_0Fmaj0B-70C70Fmaj0B-70Fmaj0B-70C7,0439; 0577
10,6,0C7,0B-7,0Fmaj,0B-maj,0Fmaj,0C7,,,,,,,,,,,,,,0.9709505944546686,##,_0C70Fmaj0B-maj0Fmaj0B-70C7,0358; 0874
14,3,0C7,0Bmin,0E7,,,,,,,,,,,,,,,,,1.4299111709758698,#,_0E70Bmin0C7,0221; 0377; 0454; 0940
10,5,0C7,0Cmaj,0C7,0Cmaj,0C7,,,,,,,,,,,,,,,1.1567796494470395,#,_0C70Cmaj0C70Cmaj0C7,0382; 0935; 0943; 1040; 1300
10,8,0C7,0Cmaj6,0A-maj,0Cmaj,0C7,0Cmaj6,0A-maj,0Cmaj,,,,,,,,,,,,0.9219280948873623,####,_0Cmaj0A-maj0Cmaj60C70Cmaj0A-maj0Cmaj60C7,0539
10,9,0C7,0F7,0B-7,0F7,0C7,0B-7,0F7,0B-7,0F7,,,,,,,,,,,1.295461844238322,##,_0F70B-70F70B-70C70F70B-70F70C7,0289; 0314; 0425; 0792; 1134; 1193; 1247
64,6,0C7,0F7,0C7,0G7,0F7,0C7,,,,,,,,,,,,,,1.0343367193254212,#,_0C70F70G70C70F70C7,0115; 0214; 0289; 0314; 0383; 0425; 0510; 0672; 0792; 1125; 1134; 1193; 1247
35,11,0C7,0F7,0C7,0G7,0F7,0C7,0F7,0C7,0G7,0F7,0C7,,,,,,,,,1.1149179683468289,##,_0C70F70G70C70F70C70F70G70C70F70C7,0115; 0214; 0289; 0314; 0383; 0672; 0792; 1125; 1193; 1247
22,16,0C7,0F7,0C7,0G7,0F7,0C7,0F7,0C7,0G7,0F7,0C7,0F7,0C7,0G7,0F7,0C7,,,,1.1433201021277661,###,_0C70F70G70C70F70C70F70G70C70F70C70F70G70C70F70C7,0115; 0214; 0289; 0383; 0672; 0792; 1125; 1193
15,6,0C7,0F7,2C7,0C7,0F7,2C7,,,,,,,,,,,,,,0.9709505944546686,#,_2C70F70C72C70F70C7,0356
16,6,0C7,0Fmaj,0B-7,0Fmaj,0C7,0Fmaj,,,,,,,,,,,,,,1.061278124459133,#,_0Fmaj0C70Fmaj0B-70Fmaj0C7,0802; 1059
12,10,0C7,0Fmaj,0B-7,0Fmaj,0C7,0Fmaj,0B-7,0Fmaj,0C7,0Fmaj,,,,,,,,,,1.2516291673878228,###,_0Fmaj0C70Fmaj0B-70Fmaj0C70Fmaj0B-70Fmaj0C7,0802; 1059
63,5,0C7,0Fmaj,0B-maj,0C7,0Fmaj,,,,,,,,,,,,,,,1.9855524555400481,#,_0Fmaj0C70B-maj0Fmaj0C7,0167; 0169; 0235; 0308; 0446; 0463; 0500; 0565; 0606; 0669; 0689; 0726; 0873; 0914; 0923; 1072; 1138; 1154; 1245
26,8,0C7,0Fmaj,0B-maj,0C7,0Fmaj,0B-maj,0C7,0Fmaj,,,,,,,,,,,,1.5663293988620242,#,_0Fmaj0C70B-maj0Fmaj0C70B-maj0Fmaj0C7,0308; 0463; 0500; 0669; 0873; 1072; 1154
