13,3, , ,0Cmaj,,,,,,,,,,,,,,,,,2.0458416408851736,#,_0Cmaj  ,"01451, 01450, 12251, 12250, 07400, 07401, 0417v, 04171, 04170, 0145c, 0145b, 1225c, 0740c",4,4
28,5, ,0Cmaj,0Amin,0Fmaj,0Gmaj,,,,,,,,,,,,,,,0.9666186325481028,#,_0Gmaj0Fmaj0Amin0Cmaj ,"0054i, 0263c, 05710, 1210v, 0620v, 01450, 0362o, 0362c, 1210c, 0402i, 02470, 02630, 0362v, 0571l, 04020, 00540, 0263o, 06200, 12100, 0247i, 0145c, 03620, 0263v",9,9
13,10, ,0Cmaj,0Amin,0Fmaj,0Gmaj,0Cmaj,0Amin,0Fmaj,0Gmaj,0Cmaj,,,,,,,,,,1.2389012566026305,###,_0Cmaj0Gmaj0Fmaj0Amin0Cmaj0Gmaj0Fmaj0Amin0Cmaj ,"0620d, 0571l, 0620v, 0247c, 0054c, 0362c, 0571v, 0054i, 05710, 0247i, 04020, 00540, 0402i, 02470, 03620, 0402c, 0263v, 0263c, 02630, 0362v, 06200",7,7
16,12,0C#min7,2C#min7/b7,0Emaj/5,2B-#maj,0Emaj,2B-#maj,0Emaj,2B-#maj,0C#min7,2C#min7/b7,0Emaj/5,2B-#maj,,,,,,,,0.9544340029249649,#########,_2B-#maj0Emaj/52C#min7/b70C#min72B-#maj0Emaj2B-#maj0Emaj2B-#maj0Emaj/52C#min7/b70C#min7,"0492c, 0881d, 0881c, 0492d",2,2
26,5,0C-1,0D-1,0E-1,0C-1,0D-1,,,,,,,,,,,,,,,1.2389012566026307,##,_0D-10C-10E-10D-10C-1,"0352v, 0913v, 0503i, 0352i, 0503v",3,3
16,8,0C-1,0D-1,0E-1,0C-1,0D-1,0E-1,0C-1,0D-1,,,,,,,,,,,,1.0,##,_0D-10C-10E-10D-10C-10E-10D-10C-1,"0352v, 0503i, 0352i, 0503v",2,2
10,6,0C-5,0D-5,0C-5,0D-5,0C-5,0D-5,,,,,,,,,,,,,,1.5709505944546687,#,_0D-50C-50D-50C-50D-50C-5,"0904c, 0353b, 0904l, 0844s",3,3
12,5,0C-dim,2E-7/5,0A-maj,0B-7,0E-7,,,,,,,,,,,,,,,0.9182958340544896,###,_0E-70B-70A-maj2E-7/50C-dim,"0516c, 516v, 0516i, 516c, 0516v, 516i",2,1
12,7,0C-maj,0A-min,0D-maj,0B-min7,0C-maj,0A-min,0D-maj,,,,,,,,,,,,,0.9182958340544896,###,_0D-maj0A-min0C-maj0B-min70D-maj0A-min0C-maj,"158v, 0158v",2,1
12,3,0C-maj,0Amaj,0Fmaj,,,,,,,,,,,,,,,,,1.7924812503605778,#,_0Fmaj0Amaj0C-maj,"0813d, 0896d, 0813c, 0896c",2,2
10,8,0C-maj,0B--maj/5,2F-maj,0B--maj/5,2F-maj,0B--maj/5,2F-maj,0C-maj,,,,,,,,,,,,1.5219280948873621,######,_0C-maj2F-maj0B--maj/52F-maj0B--maj/52F-maj0B--maj/50C-maj,"0721c, 0187c",2,2
15,6,0C-maj,0B-min,0D-maj,0B-min,0A-maj,0F#maj,,,,,,,,,,,,,,0.9709505944546686,##,_0F#maj0A-maj0B-min0D-maj0B-min0C-maj,"0259d, 0259c, 0552c, 0552d, 0279c, 0279d",3,3
