SongID,Title,Artist,Song Length (in mm.),Song Length in Phrases,Beg. Tonic,Beg. Meter,Meter Change?,Tonic Change?,Beg. Mode,Mode Change?
0134,I Had Too Much To Dream,Electric Prunes,107,28,D,4/4,1,0
0329,Smoking Gun,The Robert Cray Band,124,32,E,4/4,0,0
1140,Oh Father,Madonna,174,45,F,4/4,0,0
0834,Good Morning Starshine,Oliver,113,30,Bb,4/4,0,0
0837,Sweet Love,Anita Baker,96,24,Bb,4/4,0,0
1268,Frankenstein,Edgar Winter,74,22,G,4/4,1,0
0831,Sexy Eyes ,Dr. Hook,92,23,C,4/4,0,0
0830,Trying To Live My Life Without You,Bob Seger & The Silver Bullet Band,101,26,D,4/4,0,0
0833,You Can Call Me Al,Paul Simon,149,38,F,4/4,0,0
0832,Through The Years,Kenny Rogers,78,19,G,4/4,0,1
1146,"Abraham, Martin And John",Dion,114,31,E,4/4,0,0
0839,When Will I Be Loved,Linda Ronstadt,66,16,E,4/4,0,0
0838,Surfin' Safari,The Beach Boys,80,19,A,4/4,0,0
0131,I wouldn't Have Missed it For The World,Ronnie Milsap,99,23,G,4/4,0,0
0545,Redneck Friend,Jackson Browne,144,34,E,4/4,0,0
0547,Almost by Being In Love,Michael Johnson,70,18,Eb,4/4,1,0
0546,Disco Inferno,The Trammps,55,17,C,4/4,0,0
0540,With You I'm Born Again,Billy Preston,90,23,D,3/4,0,1
0543,If I Can Dream,Elvis Presley,49,18,C,12/8,0,1
0429,Put Your Hand In The Hand,Ocean,52,25,E,4/4,0,1
0426,I m Goin Down,Bruce Springsteen,116,29,A,4/4,0,0
0427,Bluebirds Over The Mountain,The Beach Boys,87,25,A,4/4,0,1
0425,See See Rider,LaVern Baker,113,29,Db,4/4,0,0
0549,Double Shot (Of My Baby's Love),Swingin' Medallions,61,16,Ab,4/4,0,0
0932,Treat Her Like A Lady,Cornelius Brothers & Sister Rose,92,21,F#,4/4,0,0
0421,Pinball Wizard,The Who,92,23,D,4/4,0,0
0035,Jimi Hendrix,Freedom,118,31,C,4/4,1,0
0996,I Want To Take You Higher,Ike & Tina Turner,83,24,Ab,4/4,1,0
1261,El Condor Pasa,Simon & Garfunkel,94,28,E,4/4,0,0
0618,Everybody Loves Somebody,Dean Martin,51,14,Eb,4/4,0,0
1260,"Right Here, Right Now",Jesus Jones,80,21,D,4/4,0,0
1266,Honky Tonk Women,The Rolling Stones,88,22,G,4/4,0,0
0759,Foggy Mountain Breakdown,Flatt & Scruggs,209,53,Ab,4/4,0,0
0033,Crazy On You,Heart,126,33,A,4/4,0,0
1069,Must Of Got Lost ,The J. Geils Band,74,19,C,4/4,0,0
1068,Never Can Say Goodbye,Gloria Gaynor,94,24,C,4/4,0,0
0723,Maybe Tomorrow,Badfinger,58,14,A,4/4,1,0
0689,"The Anaheim, Azusa & Cucamonga Sewing Circle, Book Review And Timing Association",Jan & Dean ,101,29,D,4/4,1,0
0725,For The Good Times,Ray Price,79,19,Eb,4/4,0,0
0378,The Humpty Dance ,Digital Underground ,81,43,Eb,4/4,1,0
0727,Eight Days A Week,The Beatles,92,23,D,4/4,0,0
0726,Would It Make Any Difference To You,Etta James,44,11,Ab,12/8,0,0
0682,Brandy,Looking Glass,97,24,E,4/4,0,0
0728,Breaking Up Is Hard To Do,Neil Sedaka,65,16,B,4/4,0,0
1063,This Little Girl,Dion,78,20,Bb,4/4,0,0
1062,Tuff Enuff ,The Fabulous Thunderbirds,97,24,B,4/4,1,0
0687,Need You Tonight,INXS,85,40,C,4/4,0,0
1067,Hurts To Be In Love,Gino Vanelli,78,21,E,4/4,0,0
0685,Silent Lucidity,Queensryche,100,26,G,4/4,0,0
0338,Through The Years,Kenny Rogers,78,19,G,4/4,0,1
0339,Deeper Shade Of Soul,Urban Dance Squad,129,33,D,4/4,0,0
0805,Just A Dream,Jimmy Clanton,50,12,G,12/8,0,0
0332,Waiting On A Friend,Rolling Stones,133,35,C,4/4,0,0
0330,Where Do You Wanna Go,The Fifth Dimension,69,15,G,4/4,0,1
0331,Jungle Boogie,Kool and the Gang,81,20,G,4/4,0,0
0336,Your Love Has Lifted Me Higher,Rita Coolidge,116,29,Db,4/4,0,0
0334,Somebody s Watching Me,Rockwell,122,31,C#,4/4,0,0
0335,Do You Love Me,The Contours,105,29,F,4/4,0,0
0112,Letter Full of Tears,Gladys Knight & The Pips,75,20,E,4/4,0,0
1086,Don't Leave Me This Way,Thelma Houston,108,30,C,4/4,0,0
0059,Is That All There Is,Peggy Lee,121,30,C,3/4,1,0
0111,Eight Miles High ,The Byrds,55,18,E,4/4,0,0
0116,Let It Rain,Eric Clapton,153,39,D,4/4,0,0
1082,Take Me Down,Alabama,80,20,C,4/4,0,0
0114,Sunshine of Your Love,Cream,121,30,D,4/4,0,0
0115,Sweet Little Rock N' Roll,Chuck Berry,89,23,G,4/4,0,0
0053,Over The Hills and Far Away,Led Zeppelin,120,29,G,4/4,1,0
0372,Scarlet Fever,Kenny Rogers,79,13,D,4/4,1,0
0051,Carrie,Cliff Richard,102,28,D,4/4,0,0
0050,Love Me Do,Beatles,85,20,G,4/4,0,0
1124,Carry Me,"David Crosby,Graham Nash",82,21,E,4/4,0,0
0056,I Love You So,Bobbi Martin,52,14,Bb,4/4,0,0
0055,Smoking Gun,The Robert Cray Band,124,32,E,4/4,0,0
0054,Last Kiss,J. Frank Wilson & The Cavaliers,84,24,E,4/4,0,0
0267,Worried Guy,Johnny Tillotson,106,28,G,4/4,0,1
0370,Kisses On The Wind,Neneh Cherry,111,28,D,4/4,0,0
0260,She's A Lady,Tom Jones,75,19,D,4/4,1,1
0803,True Colors,Cyndi Lauper,79,31,C,4/4,0,0
0071,Paradise by the Dashboard Light,Meatloaf,376,60,C,4/4,1,1
0070,Hot Fun In The Summertime,Sly & The Family Stone,63,17,C,4/4,0,0
1104,What You See Is What You Get,Tina Turner,172,42,F,4/4,0,0
0206,Maybe I'm Amazed,Paul McCartney,79,17,D,4/4,0,1
0207,Back in the High Life Again,Steve Winwood,93,25,D,4/4,1,0
0204,I Want To Take You Higher,Ike & Tina Turner,83,24,Ab,4/4,1,0
0205,Pressure,Billy Joel,173,44,D,4/4,0,0
0202,Love Train,The O'Jays,91,23,C,4/4,0,0
0751,I'd Love To Change The World,Ten Years After,109,28,E,4/4,0,0
0752,Levon,Elton John,96,25,F,4/4,0,0
1132,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,106,27,Bb,4/4,0,1
0615,Hot Child in the City,Nick Gilder,86,21,E,4/4,0,0
0614,I want to take you higher,Sly And The Family Stone,138,41,A,4/4,1,0
0617,His Latest Flame,Elvis Presley,110,25,G,4/4,0,0
0616,Simon & Garfunkel,Mrs. Robinson,184,44,A,4/4,0,0
0758,Come Monday,Jimmy Buffett,85,24,A,4/4,0,0
0610,Rocket Ride ,Kiss,132,35,Eb,4/4,0,0
0208,Another Rainy Day in New York City,Chicago,117,28,A,4/4,0,0
0209,Already Gone,The Eagles,152,38,G,4/4,0,0
1234,Amanda,Boston,65,14,G,4/4,0,0
1235,For Ol' Times Sake,Elvis Presley,62,17,Bb,4/4,1,0
1237,Something About You,Level 42,98,27,E,4/4,0,0
0077,Reminiscing,Little River Band,78,16,D,4/4,0,0
1232,Heaven Must Have Sent You,Bonnie Pointer,113,29,C,4/4,0,0
0101,A Lesson in Leavin,Dottie West,57,14,B,4/4,1,1
1239,Will You Love Me Tomorrow,The Shirelles,92,23,C,4/4,0,0
0100,Maggie May,Rod Stewart,182,47,D,4/4,1,0
0730,His Latest Flame,Elvis Presley,110,25,G,4/4,0,0
0102,For The Good Times,Ray Price,79,19,Eb,4/4,0,0
0089,Fire And Ice,Pat Benetar,64,20,C,4/4,0,0
0016,She Bop,Cyndi Lauper,128,34,A,4/4,0,0
0542,Wake Me Up Before You Go-Go,Wham!,154,39,C,4/4,0,0
1240,Alive Again,Chicago,134,33,Bb,4/4,1,0
1242,Last Dance,Donna Summer,83,23,Eb,4/4,0,1
