4,4,1,1229
6,6,1,1271
16,16,1,1274
23,23,1,870
29,29,1,504
30,30,1,537
33,33,1,73
37,37,1,759
40,40,1,742
51,51,1,1222
53,53,1,1025
54,54,4,402_247_362_263
55,55,1,329
62,62,1,1067
66,66,2,849_335
72,72,1,1136
73,33,1,33
75,75,1,95
81,81,1,833
92,92,1,141
95,75,1,75
102,102,1,725
106,106,1,988
112,112,1,596
120,120,1,903
124,124,1,916
128,128,1,682
139,139,1,885
141,92,1,92
147,147,2,863_318
157,157,1,603
158,158,1,1237
160,160,1,172
172,160,1,160
176,176,2,292_1227
185,185,1,805
187,187,1,721
190,190,1,1068
193,193,1,737
198,198,2,776_574
204,204,2,996_360
210,210,1,260
215,215,1,800
217,217,1,450
221,221,2,454_940
222,222,2,508_1235
227,227,1,275
229,229,1,1266
235,235,1,446
240,240,1,295
242,242,1,782
247,54,4,54_402_362_263
248,248,1,751
253,253,1,1152
256,256,1,755
259,259,2,279_552
260,210,1,210
263,54,4,54_402_247_362
268,268,1,910
271,271,1,458
275,227,1,227
278,278,1,332
279,259,2,259_552
281,281,1,660
288,288,1,471
292,176,2,176_1227
295,240,1,240
304,304,2,378_521
307,307,2,1162_1133
308,308,1,669
309,309,2,769_1084
312,312,1,475
317,317,1,323
318,318,2,863_147
319,319,1,795
322,322,1,733
323,317,1,317
324,324,1,839
329,55,1,55
332,278,1,278
334,334,1,882
335,66,2,66_849
338,338,1,832
341,341,1,1157
352,352,1,503
358,358,1,874
360,204,2,996_204
362,54,4,54_402_247_263
366,366,1,684
370,370,1,909
378,304,2,304_521
381,381,1,999
382,382,1,1300
385,385,2,911_628
386,386,1,444
387,387,2,597_780
390,390,1,522
402,54,4,54_247_362_263
404,404,1,1091
434,434,1,816
442,442,1,757
444,386,1,386
446,235,1,235
448,448,1,850
450,217,1,217
454,221,2,940_221
458,271,1,271
461,461,1,781
469,469,1,657
471,288,1,288
475,312,1,312
481,481,1,1186
492,492,1,881
500,500,1,873
501,501,2,1242_1217
503,352,1,352
504,29,1,29
506,506,1,636
508,222,2,222_1235
515,515,1,562
516,516,1,1132
517,517,1,680
521,304,2,378_304
522,390,1,390
524,524,2,1183_1098
537,30,1,30
546,546,1,1016
552,259,2,259_279
555,555,1,1022
559,559,1,987
561,561,1,695
562,515,1,515
565,565,1,923
568,568,1,846
572,572,1,600
574,198,2,198_776
585,585,1,765
587,587,1,1007
592,592,1,1226
596,112,1,112
597,387,2,780_387
600,572,1,572
601,601,1,1093
603,157,1,157
608,608,1,659
615,615,1,783
617,617,1,730
628,385,2,385_911
636,506,1,506
647,647,1,709
657,469,1,469
658,658,1,766
659,608,1,608
660,281,1,281
662,662,1,664
664,662,1,662
669,308,1,308
670,670,1,685
680,517,1,517
682,128,1,128
683,683,1,768
684,366,1,366
685,670,1,670
695,561,1,561
701,701,1,1296
705,705,2,1250_888
709,647,1,647
721,187,1,187
722,722,1,1099
725,102,1,102
730,617,1,617
733,322,1,322
737,193,1,193
742,40,1,40
751,248,1,248
755,256,1,256
757,442,1,442
759,37,1,37
765,585,1,585
766,658,1,658
768,683,1,683
769,309,2,309_1084
776,198,2,198_574
780,387,2,597_387
781,461,1,461
782,242,1,242
783,615,1,615
785,785,1,1151
795,319,1,319
800,215,1,215
805,185,1,185
813,813,1,896
814,814,1,1120
816,434,1,434
822,822,2,1166_954
832,338,1,338
833,81,1,81
839,324,1,324
846,568,1,568
849,66,2,66_335
850,448,1,448
863,147,2,147_318
870,23,1,23
873,500,1,500
874,358,1,358
881,492,1,492
882,334,1,334
885,139,1,139
888,705,2,1250_705
896,813,1,813
903,120,1,120
909,370,1,370
910,268,1,268
911,385,2,385_628
916,124,1,124
923,565,1,565
932,932,1,1280
940,221,2,454_221
948,948,1,1103
954,822,2,822_1166
987,559,1,559
988,106,1,106
996,360,2,360_204
999,381,1,381
1007,587,1,587
1016,546,1,546
1022,555,1,555
1024,1024,1,1263
1025,53,1,53
1053,1053,1,1204
1056,1056,1,1097
1067,62,1,62
1068,190,1,190
1084,309,2,309_769
1091,404,1,404
1093,601,1,601
1097,1056,1,1056
1098,524,2,1183_524
1099,722,1,722
1102,1102,1,1150
1103,948,1,948
1113,1113,1,1123
1116,1116,1,1297
1120,814,1,814
1123,1113,1,1113
1132,516,1,516
1133,307,2,1162_307
1136,72,1,72
1150,1102,1,1102
1151,785,1,785
1152,253,1,253
1157,341,1,341
1162,307,2,307_1133
1166,822,2,822_954
1169,1169,1,1260
1183,524,2,1098_524
1186,481,1,481
1192,1192,1,1283
1204,1053,1,1053
1217,501,2,501_1242
1222,51,1,51
1226,592,1,592
1227,176,2,176_292
1229,4,1,4
1235,222,2,508_222
1237,158,1,158
1242,501,2,501_1217
1250,705,2,888_705
1260,1169,1,1169
1263,1024,1,1024
1266,229,1,229
1271,6,1,6
1274,16,1,16
1280,932,1,932
1283,1192,1,1192
1296,701,1,701
1297,1116,1,1116
1300,382,1,382
