18,14,>S,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,,,,,,1.404678473063571,####,_CmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmaj>S,0023; 0050; 0203; 0234; 0330; 0347; 0452; 0559; 0619; 0674; 0870; 0987; 1100; 1113; 1117; 1123; 1135; 1139
12,17,>S,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,,,1.207518749639422,##,_FmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmaj>S,0050; 0203; 0234; 0330; 0452; 0559; 0674; 0987; 1113; 1123; 1135; 1139
10,9,>S,Cmaj,Gmaj,Cmaj,Gmaj,Cmaj,Gmaj,Cmaj,Gmaj,,,,,,,,,,,0.9219280948873623,#,_GmajCmajGmajCmajGmajCmajGmajCmaj>S,0147; 0245; 0318; 0468; 0863; 0891; 0995; 1009; 1039; 1180
20,4,C,E-maj,B-maj,Cmin,,,,,,,,,,,,,,,,1.1567796494470395,#,_CminB-majE-majC,1169; 1260
14,10,C,E-maj,B-maj,Cmin,B-maj,Cmaj,C,E-maj,B-maj,Cmin,,,,,,,,,,1.3787834934861758,#####,_CminB-majE-majCCmajB-majCminB-majE-majC,1169; 1260
12,4,C7,A-maj7,Fmin7,B-sus4,,,,,,,,,,,,,,,,1.4591479170272448,#,_B-sus4Fmin7A-maj7C7,0338; 0832
17,4,C7,A7,C7,A7,,,,,,,,,,,,,,,,0.9780155566622415,#,_A7C7A7C7,0533
13,6,C7,A7,C7,A7,C7,A7,,,,,,,,,,,,,,1.1401156785146092,#,_A7C7A7C7A7C7,0533
10,5,C7,Amin,C7,Amin,C7,,,,,,,,,,,,,,,0.9219280948873623,#,_C7AminC7AminC7,1020
12,6,C7,Amin7,D7,B-maj7,Gmin7,Csus4,,,,,,,,,,,,,,1.4591479170272448,##,_Csus4Gmin7B-maj7D7Amin7C7,0338; 0832
